title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,decade,na_pct,jp_pct,pal_pct,other_pct,sales_tier,,,
The Urbz: Sims in the City,XB,Simulation,Electronic Arts,7.3,0.34,0.22,0,0.11,0.01,2004,2000,64.7,0,32.4,2.9,Mid-tier (0.1ƒ??1M),,,
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,Adventure,Buena Vista,7.3,0.34,0.17,0,0.13,0.04,2005,2000,50,0,38.2,11.8,Mid-tier (0.1ƒ??1M),,,
WWE Day of Reckoning 2,GC,Fighting,THQ,8.3,0.34,0.26,0,0.07,0.01,2005,2000,76.5,0,20.6,2.9,Mid-tier (0.1ƒ??1M),,,
Conan,PS3,Action,THQ,7.3,0.34,0.13,0,0.15,0.05,2007,2000,38.2,0,44.1,14.7,Mid-tier (0.1ƒ??1M),,,
Fantastic Voyage,2600,Action,20th Century Fox Video Games,7.3,0.34,0.32,0,0.02,0,1982,1980,94.1,0,5.9,0,Mid-tier (0.1ƒ??1M),,,
Tenchu Z,X360,Action,Microsoft,5.7,0.34,0.27,0.02,0.02,0.03,2007,2000,79.4,5.9,5.9,8.8,Mid-tier (0.1ƒ??1M),,,
NBA 2K17,PS3,Sports,2K Sports,7.3,0.34,0.16,0.02,0.11,0.05,2016,2010,47.1,5.9,32.4,14.7,Mid-tier (0.1ƒ??1M),,,
Hitman: Contracts,XB,Shooter,Eidos Interactive,7.3,0.34,0.26,0,0.07,0.01,2004,2000,76.5,0,20.6,2.9,Mid-tier (0.1ƒ??1M),,,
Dynasty Warriors 5 Empires,PS2,Action,KOEI,6.3,0.34,0.11,0.12,0.09,0.03,2006,2000,32.4,35.3,26.5,8.8,Mid-tier (0.1ƒ??1M),,,
The Sims 3: Town Life Stuff,PC,Simulation,Electronic Arts,7.3,0.34,0.11,0,0.18,0.05,2011,2010,32.4,0,52.9,14.7,Mid-tier (0.1ƒ??1M),,,
The Eye of Judgment,PS3,Strategy,Sony Computer Entertainment,7.5,0.34,0.28,0.02,0,0.03,2007,2000,82.4,5.9,0,8.8,Mid-tier (0.1ƒ??1M),,,
Bejeweled 3,DS,Puzzle,PopCap Games,7.3,0.34,0.29,0,0.02,0.03,2011,2010,85.3,0,5.9,8.8,Mid-tier (0.1ƒ??1M),,,
Iron Storm,SAT,Strategy,Working Designs,7.3,0.34,0,0.34,0,0,1996,1990,0,100,0,0,Mid-tier (0.1ƒ??1M),,,
SimCity Creator,DS,Simulation,Electronic Arts,7.3,0.34,0.29,0,0.02,0.03,2008,2000,85.3,0,5.9,8.8,Mid-tier (0.1ƒ??1M),,,
Pirates of the Caribbean: At World's End,DS,Action,Disney Interactive Studios,7.3,0.34,0.3,0.01,0.01,0.03,2007,2000,88.2,2.9,2.9,8.8,Mid-tier (0.1ƒ??1M),,,
Disney Sing It: Pop Hits,PS2,Misc,Disney Interactive Studios,7.3,0.34,0.1,0,0.02,0.22,2009,2000,29.4,0,5.9,64.7,Mid-tier (0.1ƒ??1M),,,
Lego Legends of Chima: Laval's Journey,3DS,Action-Adventure,Warner Bros. Interactive Entertainment,7.3,0.34,0.2,0,0.11,0.03,2013,2010,58.8,0,32.4,8.8,Mid-tier (0.1ƒ??1M),,,
Risk / Battleship / Clue,GBA,Misc,DSI Games,7.3,0.34,0.25,0,0.09,0.01,2005,2000,73.5,0,26.5,2.9,Mid-tier (0.1ƒ??1M),,,
UEFA Euro 2008 Austria-Switzerland,X360,Sports,Electronic Arts,7.3,0.34,0.08,0,0.23,0.03,2008,2000,23.5,0,67.6,8.8,Mid-tier (0.1ƒ??1M),,,
SD Gundam G Generation World,PSP,Strategy,Namco Bandai,7.3,0.34,0,0.34,0,0,2011,2010,0,100,0,0,Mid-tier (0.1ƒ??1M),,,
Bank Heist,2600,Action,20th Century Fox Video Games,7.3,0.34,0.32,0,0.02,0,1983,1980,94.1,0,5.9,0,Mid-tier (0.1ƒ??1M),,,
Tiny Tank,PS,Action,Sony Computer Entertainment,7.3,0.34,0.19,0,0.13,0.02,1999,1990,55.9,0,38.2,5.9,Mid-tier (0.1ƒ??1M),,,
Odin Sphere: Leifthrasir,PS4,Role-Playing,Atlus,7.3,0.34,0.14,0.09,0.07,0.04,2016,2010,41.2,26.5,20.6,11.8,Mid-tier (0.1ƒ??1M),,,
Tom Clancy's Ghost Recon: Shadow Wars,3DS,Strategy,Ubisoft,7.9,0.34,0.22,0,0.1,0.03,2011,2010,64.7,0,29.4,8.8,Mid-tier (0.1ƒ??1M),,,
Monster Rancher 4,PS2,Simulation,Tecmo,7.3,0.34,0.08,0.19,0.06,0.02,2003,2000,23.5,55.9,17.6,5.9,Mid-tier (0.1ƒ??1M),,,
Trauma Center: Second Opinion,Wii,Simulation,Atlus,8.2,0.34,0.28,0.03,0.01,0.03,2006,2000,82.4,8.8,2.9,8.8,Mid-tier (0.1ƒ??1M),,,
Teenage Mutant Ninja Turtles,GC,Action,Konami,7.3,0.34,0.26,0,0.07,0.01,2003,2000,76.5,0,20.6,2.9,Mid-tier (0.1ƒ??1M),,,
Lord of Arcana,PSP,Role-Playing,Square Enix,4.7,0.34,0.08,0.17,0.05,0.04,2011,2010,23.5,50,14.7,11.8,Mid-tier (0.1ƒ??1M),,,
Spy Hunter,XB,Racing,Midway Games,7.3,0.34,0.25,0,0.07,0.01,2002,2000,73.5,0,20.6,2.9,Mid-tier (0.1ƒ??1M),,,
Night Warriors: Darkstalkers' Revenge,SAT,Fighting,Capcom,7.3,0.34,0,0.34,0,0,1996,1990,0,100,0,0,Mid-tier (0.1ƒ??1M),,,
Momotarou Dentetsu DS: Tokyo & Japan,DS,Misc,Hudson Soft,7.3,0.34,0,0.34,0,0,2007,2000,0,100,0,0,Mid-tier (0.1ƒ??1M),,,
Kurushi Final: Mental Blocks,PS,Puzzle,Sony Computer Entertainment,7.3,0.34,0,0.32,0,0.02,1999,1990,0,94.1,0,5.9,Mid-tier (0.1ƒ??1M),,,
Puzzle Quest: Challenge of the Warlords,DS,Puzzle,D3 Publisher,7.3,0.34,0.28,0.03,0.01,0.02,2007,2000,82.4,8.8,2.9,5.9,Mid-tier (0.1ƒ??1M),,,
Tekken Tag Tournament 2,X360,Fighting,Namco Bandai Games,7.3,0.34,0.19,0.01,0.11,0.03,2012,2010,55.9,2.9,32.4,8.8,Mid-tier (0.1ƒ??1M),,,
F.E.A.R.,X360,Shooter,Vivendi Games,8.6,0.34,0.28,0,0.03,0.03,2006,2000,82.4,0,8.8,8.8,Mid-tier (0.1ƒ??1M),,,
Battalion Wars 2,Wii,Strategy,Nintendo,7.7,0.34,0.22,0.08,0.02,0.02,2007,2000,64.7,23.5,5.9,5.9,Mid-tier (0.1ƒ??1M),,,
World Championship Poker 2: Featuring Howard Lederer,PS2,Misc,Crave Entertainment,7.3,0.34,0.16,0,0.13,0.04,2005,2000,47.1,0,38.2,11.8,Mid-tier (0.1ƒ??1M),,,
Frostbite,2600,Action,Activision,7.3,0.34,0.32,0,0.02,0,1983,1980,94.1,0,5.9,0,Mid-tier (0.1ƒ??1M),,,
High School Musical 3: Senior Year DANCE!,PS2,Misc,Disney Interactive Studios,7.3,0.34,0.17,0,0.13,0.04,2008,2000,50,0,38.2,11.8,Mid-tier (0.1ƒ??1M),,,
Monopoly,PS3,Misc,Electronic Arts,7.3,0.34,0.25,0,0.06,0.03,2008,2000,73.5,0,17.6,8.8,Mid-tier (0.1ƒ??1M),,,
Smart Girl's Party Game,DS,Misc,UFO Interactive,7.3,0.34,0.31,0,0,0.02,2008,2000,91.2,0,0,5.9,Mid-tier (0.1ƒ??1M),,,
Project Versus J,PS3,Misc,Namco Bandai Games,7.3,0.34,0.07,0.2,0.05,0.02,2015,2010,20.6,58.8,14.7,5.9,Mid-tier (0.1ƒ??1M),,,
Iron Man 2,DS,Action,Sega,7.3,0.34,0.14,0,0.16,0.03,2010,2010,41.2,0,47.1,8.8,Mid-tier (0.1ƒ??1M),,,
Remember Me,PS3,Action,Capcom,7.3,0.34,0.1,0,0.18,0.05,2013,2010,29.4,0,52.9,14.7,Mid-tier (0.1ƒ??1M),,,
Mini Ninjas,DS,Action,Eidos Interactive,7.3,0.34,0.16,0,0.15,0.04,2009,2000,47.1,0,44.1,11.8,Mid-tier (0.1ƒ??1M),,,
The Fairly Odd Parents: Shadow Showdown,GBA,Platform,THQ,7.3,0.34,0.25,0,0.09,0.01,2004,2000,73.5,0,26.5,2.9,Mid-tier (0.1ƒ??1M),,,
Backstreet Billiards,PS,Misc,ASCII Entertainment,7.2,0.34,0.19,0,0.13,0.02,1998,1990,55.9,0,38.2,5.9,Mid-tier (0.1ƒ??1M),,,
Shaun White Snowboarding,PSP,Sports,Ubisoft,6.3,0.34,0.26,0,0.04,0.03,2008,2000,76.5,0,11.8,8.8,Mid-tier (0.1ƒ??1M),,,
Just Dance 2017,XOne,Music,Ubisoft,7.3,0.34,0.25,0,0.05,0.03,2016,2010,73.5,0,14.7,8.8,Mid-tier (0.1ƒ??1M),,,
Supreme Commander 2,X360,Strategy,Square Enix,8.2,0.34,0.23,0,0.09,0.03,2010,2010,67.6,0,26.5,8.8,Mid-tier (0.1ƒ??1M),,,
MXRider,PS2,Racing,Infogrames,7.3,0.34,0.16,0,0.13,0.04,2001,2000,47.1,0,38.2,11.8,Mid-tier (0.1ƒ??1M),,,
Marvel Super Heroes,PS,Fighting,Capcom,7.3,0.34,0.19,0,0.13,0.02,1997,1990,55.9,0,38.2,5.9,Mid-tier (0.1ƒ??1M),,,
MVP 06 NCAA Baseball,XB,Sports,EA Sports,7.3,0.34,0.25,0,0.07,0.01,2006,2000,73.5,0,20.6,2.9,Mid-tier (0.1ƒ??1M),,,
NHL 09,PS3,Sports,Electronic Arts,7.3,0.34,0.29,0,0.02,0.03,2008,2000,85.3,0,5.9,8.8,Mid-tier (0.1ƒ??1M),,,
MotorStorm: Arctic Edge,PS2,Racing,Sony Computer Entertainment,7.4,0.34,0.07,0,0.03,0.25,2009,2000,20.6,0,8.8,73.5,Mid-tier (0.1ƒ??1M),,,
007 Legends,PS3,Shooter,Activision,7.3,0.34,0.11,0,0.17,0.06,2012,2010,32.4,0,50,17.6,Mid-tier (0.1ƒ??1M),,,
Twisted Metal,PS3,Racing,Sony Computer Entertainment,7.3,0.34,0.32,0,0,0.03,2012,2010,94.1,0,0,8.8,Mid-tier (0.1ƒ??1M),,,
Guitar Hero Live,X360,Music,Activision,7.3,0.34,0.2,0,0.11,0.03,2015,2010,58.8,0,32.4,8.8,Mid-tier (0.1ƒ??1M),,,
Alien's Return,2600,Action,ITT Family Games,7.3,0.34,0.32,0,0.02,0,1983,1980,94.1,0,5.9,0,Mid-tier (0.1ƒ??1M),,,
Star Ocean: Second Evolution,PSP,Role-Playing,Square Enix,8,0.34,0.14,0.16,0.02,0.02,2009,2000,41.2,47.1,5.9,5.9,Mid-tier (0.1ƒ??1M),,,
The Wild Thornberrys Movie,GBA,Platform,THQ,7.3,0.34,0.25,0,0.09,0.01,2002,2000,73.5,0,26.5,2.9,Mid-tier (0.1ƒ??1M),,,
Classic NES Series: Ice Climber,GBA,Platform,Nintendo,7.3,0.34,0.1,0.2,0.04,0.01,2004,2000,29.4,58.8,11.8,2.9,Mid-tier (0.1ƒ??1M),,,
My Baby Boy,DS,Simulation,SouthPeak Interactive,7.3,0.34,0.3,0,0.02,0.03,2008,2000,88.2,0,5.9,8.8,Mid-tier (0.1ƒ??1M),,,
Avatar: The Last Airbender - The Burning Earth,DS,Action,THQ,7.3,0.34,0.31,0,0,0.03,2007,2000,91.2,0,0,8.8,Mid-tier (0.1ƒ??1M),,,
DanceDanceRevolution,Wii,Simulation,Konami,7.3,0.34,0.28,0,0.04,0.02,2010,2010,82.4,0,11.8,5.9,Mid-tier (0.1ƒ??1M),,,
Herbie: Fully Loaded,GBA,Racing,Buena Vista,5,0.34,0.24,0,0.09,0.01,2005,2000,70.6,0,26.5,2.9,Mid-tier (0.1ƒ??1M),,,
WWE '12,Wii,Fighting,THQ,7.3,0.34,0.23,0,0.09,0.03,2011,2010,67.6,0,26.5,8.8,Mid-tier (0.1ƒ??1M),,,
Skylanders: Trap Team,3DS,Misc,Activision,7.3,0.34,0.21,0,0.1,0.03,2014,2010,61.8,0,29.4,8.8,Mid-tier (0.1ƒ??1M),,,
Angry Birds: Star Wars,3DS,Puzzle,Activision,7.3,0.34,0.15,0,0.16,0.03,2013,2010,44.1,0,47.1,8.8,Mid-tier (0.1ƒ??1M),,,
Marvel vs. Capcom: Infinite,XOne,Fighting,Capcom,7.3,0.34,0.26,0,0.05,0.03,2017,2010,76.5,0,14.7,8.8,Mid-tier (0.1ƒ??1M),,,
WWE All Stars,X360,Fighting,THQ,7.7,0.34,0.18,0,0.14,0.03,2011,2010,52.9,0,41.2,8.8,Mid-tier (0.1ƒ??1M),,,
Point Blank,PS,Shooter,Namco,7.3,0.34,0.05,0.23,0.03,0.02,1998,1990,14.7,67.6,8.8,5.9,Mid-tier (0.1ƒ??1M),,,
SpongeBob SquarePants: The Yellow Avenger,DS,Action,THQ,7.3,0.34,0.31,0,0,0.02,2005,2000,91.2,0,0,5.9,Mid-tier (0.1ƒ??1M),,,
Freeway,2600,Action,Activision,7.3,0.34,0.32,0,0.02,0,1981,1980,94.1,0,5.9,0,Mid-tier (0.1ƒ??1M),,,
Fade to Black,PS,Action,Electronic Arts,7.3,0.34,0.19,0,0.13,0.02,1996,1990,55.9,0,38.2,5.9,Mid-tier (0.1ƒ??1M),,,
Dynasty Warriors: Gundam 2,PS2,Action,Namco Bandai,4.9,0.34,0.04,0.25,0.03,0.01,2009,2000,11.8,73.5,8.8,2.9,Mid-tier (0.1ƒ??1M),,,
Speed Racer: The Videogame,DS,Racing,Warner Bros. Interactive,7.3,0.34,0.28,0,0.04,0.03,2008,2000,82.4,0,11.8,8.8,Mid-tier (0.1ƒ??1M),,,
Racquet Sports,PS3,Sports,Ubisoft,4.2,0.34,0.11,0,0.17,0.06,2010,2010,32.4,0,50,17.6,Mid-tier (0.1ƒ??1M),,,
Dragon Ball Heroes: Ultimate Mission 2,3DS,Fighting,Namco Bandai Games,7.3,0.34,0,0.34,0,0,2014,2010,0,100,0,0,Mid-tier (0.1ƒ??1M),,,
Super Bust-A-Move,PS2,Puzzle,Acclaim Entertainment,7.3,0.34,0.17,0,0.13,0.04,2000,2000,50,0,38.2,11.8,Mid-tier (0.1ƒ??1M),,,
FIFA Street 3,X360,Sports,EA Sports BIG,7.3,0.34,0.17,0,0.14,0.04,2008,2000,50,0,41.2,11.8,Mid-tier (0.1ƒ??1M),,,
Imagine: Movie Star,DS,Simulation,Ubisoft,7.3,0.34,0.31,0,0,0.03,2008,2000,91.2,0,0,8.8,Mid-tier (0.1ƒ??1M),,,
Football Manager Handheld 2008,PSP,Sports,Sega,7.3,0.34,0,0,0.33,0,2007,2000,0,0,97.1,0,Mid-tier (0.1ƒ??1M),,,
The King of Fighters XIV,PS4,Fighting,Atlus,7.3,0.34,0.21,0.06,0.02,0.05,2016,2010,61.8,17.6,5.9,14.7,Mid-tier (0.1ƒ??1M),,,
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,Sports,Sega,7.3,0.34,0.09,0,0.19,0.07,2010,2010,26.5,0,55.9,20.6,Mid-tier (0.1ƒ??1M),,,
Off Road Challenge,N64,Racing,Midway Games,7.3,0.34,0.27,0,0.06,0,1998,1990,79.4,0,17.6,0,Mid-tier (0.1ƒ??1M),,,
Carnival,2600,Shooter,Coleco,7.3,0.34,0.32,0,0.02,0,1982,1980,94.1,0,5.9,0,Mid-tier (0.1ƒ??1M),,,
NBA 2K12,Wii,Sports,2K Sports,7.3,0.34,0.29,0,0.03,0.02,2011,2010,85.3,0,8.8,5.9,Mid-tier (0.1ƒ??1M),,,
Divinity: Original Sin,PS4,Role-Playing,Focus Home Interactive,7.3,0.34,0.13,0.04,0.13,0.05,2015,2010,38.2,11.8,38.2,14.7,Mid-tier (0.1ƒ??1M),,,
Delta Force: Black Hawk Down,XB,Shooter,NovaLogic,7.3,0.34,0.25,0,0.07,0.01,2005,2000,73.5,0,20.6,2.9,Mid-tier (0.1ƒ??1M),,,
Sniper: Ghost Warrior 2,PS3,Shooter,City Interactive,7.3,0.34,0.05,0.03,0.2,0.05,2013,2010,14.7,8.8,58.8,14.7,Mid-tier (0.1ƒ??1M),,,
BattleTanx,N64,Action,3DO,7.3,0.33,0.26,0,0.06,0,1998,1990,78.8,0,18.2,0,Mid-tier (0.1ƒ??1M),,,
Teen Titans,GC,Action,THQ,6.3,0.33,0.25,0,0.07,0.01,2006,2000,75.8,0,21.2,3,Mid-tier (0.1ƒ??1M),,,
Samurai Warriors 2: Xtreme Legends (JP sales),PS2,Action,KOEI,7.3,0.33,0,0.33,0,0,2008,2000,0,100,0,0,Mid-tier (0.1ƒ??1M),,,
Disney Fairies: Tinker Bell and the Great Fairy Rescue,DS,Adventure,Disney Interactive Studios,7.3,0.33,0.17,0,0.12,0.03,2010,2010,51.5,0,36.4,9.1,Mid-tier (0.1ƒ??1M),,,
Kirby: Battle Royale,3DS,Fighting,Nintendo,6,0.33,0.07,0.2,0.05,0.01,2018,2010,21.2,60.6,15.2,3,Mid-tier (0.1ƒ??1M),,,
NBA 2K10,PSP,Sports,2K Sports,5.5,0.33,0.3,0,0,0.03,2009,2000,90.9,0,0,9.1,Mid-tier (0.1ƒ??1M),,,
Virtua Tennis 2009,X360,Sports,Sega,7.3,0.33,0.12,0,0.18,0.03,2009,2000,36.4,0,54.5,9.1,Mid-tier (0.1ƒ??1M),,,
Cabela's Dangerous Hunts 2011,PS3,Sports,Activision,7.3,0.33,0.26,0,0.04,0.03,2010,2010,78.8,0,12.1,9.1,Mid-tier (0.1ƒ??1M),,,
Mega Man ZX Advent,DS,Platform,Capcom,7.6,0.33,0.22,0.09,0,0.02,2007,2000,66.7,27.3,0,6.1,Mid-tier (0.1ƒ??1M),,,
Style Lab: Jewelry Design,DS,Simulation,Ubisoft,7.3,0.33,0.3,0,0,0.02,2009,2000,90.9,0,0,6.1,Mid-tier (0.1ƒ??1M),,,
Discovery Kids: Puppy Playtime,DS,Simulation,505 Games,7.3,0.33,0.3,0,0,0.02,2009,2000,90.9,0,0,6.1,Mid-tier (0.1ƒ??1M),,,
Disgaea 2: Cursed Memories,PS2,Role-Playing,NIS America,7.9,0.33,0.09,0.15,0.07,0.02,2006,2000,27.3,45.5,21.2,6.1,Mid-tier (0.1ƒ??1M),,,
Farming Simulator 17,XOne,Simulation,Focus Home Interactive,7.3,0.33,0.19,0,0.11,0.03,2016,2010,57.6,0,33.3,9.1,Mid-tier (0.1ƒ??1M),,,
The Crew 2,XOne,Racing,Ubisoft,7.3,0.33,0.2,0,0.1,0.03,2018,2010,60.6,0,30.3,9.1,Mid-tier (0.1ƒ??1M),,,
NASCAR Thunder 2002,XB,Racing,EA Sports,7.3,0.33,0.25,0,0.07,0.01,2001,2000,75.8,0,21.2,3,Mid-tier (0.1ƒ??1M),,,
Warhammer 40,000: Squad Command,PSP,Strategy,THQ,6.6,0.33,0.11,0,0.14,0.08,2007,2000,33.3,0,42.4,24.2,Mid-tier (0.1ƒ??1M),,
Kidou Senshi Gundam F91: Formula Senki 0122,SNES,Strategy,Bandai,7.3,0.33,0,0.33,0,0,1991,1990,0,100,0,0,Mid-tier (0.1ƒ??1M),,,
Chicken Riot,Wii,Action,City Interactive,7.3,0.33,0.14,0,0.16,0.03,2010,2010,42.4,0,48.5,9.1,Mid-tier (0.1ƒ??1M),,,
Avatar: The Last Airbender,DS,Adventure,THQ,7.3,0.33,0.3,0,0.01,0.02,2006,2000,90.9,0,3,6.1,Mid-tier (0.1ƒ??1M),,,
Sakura Wars 3: Paris wa Moeteiru ka,DC,Adventure,Sega,7.3,0.33,0,0.33,0,0,2001,2000,0,100,0,0,Mid-tier (0.1ƒ??1M),,,
MX vs. ATV Untamed,Wii,Racing,THQ,7.3,0.33,0.28,0,0.03,0.02,2008,2000,84.8,0,9.1,6.1,Mid-tier (0.1ƒ??1M),,,
Call of Duty: Infinite Warfare,PC,Shooter,Activision,7.3,0.33,0.12,0,0.19,0.03,2016,2010,36.4,0,57.6,9.1,Mid-tier (0.1ƒ??1M),,,
MLB 08: The Show,PSP,Sports,Sony Computer Entertainment,8.3,0.33,0.3,0,0,0.02,2008,2000,90.9,0,0,6.1,Mid-tier (0.1ƒ??1M),,,
NBA Live 96,PS,Sports,Electronic Arts,7.3,0.33,0.16,0.04,0.11,0.02,1996,1990,48.5,12.1,33.3,6.1,Mid-tier (0.1ƒ??1M),,,
EA Playground,DS,Sports,Electronic Arts,7.3,0.33,0.29,0,0.01,0.03,2007,2000,87.9,0,3,9.1,Mid-tier (0.1ƒ??1M),,,
Super Power League 2,SNES,Sports,Hudson Soft,7.3,0.33,0,0.33,0,0,1994,1990,0,100,0,0,Mid-tier (0.1ƒ??1M),,,
Harry Potter and the Deathly Hallows - Part 2,X360,Action,Electronic Arts,4.8,0.33,0.19,0,0.11,0.03,2011,2010,57.6,0,33.3,9.1,Mid-tier (0.1ƒ??1M),,,
Shrek SuperSlam,GBA,Action,Activision,7.3,0.33,0.24,0,0.09,0.01,2005,2000,72.7,0,27.3,3,Mid-tier (0.1ƒ??1M),,,
Harry Potter and the Deathly Hallows - Part 2,PS3,Action,Electronic Arts,7.3,0.33,0.14,0,0.14,0.05,2011,2010,42.4,0,42.4,15.2,Mid-tier (0.1ƒ??1M),,,
NCAA Basketball 10,PS3,Sports,Electronic Arts,7.3,0.33,0.31,0,0,0.03,2009,2000,93.9,0,0,9.1,Mid-tier (0.1ƒ??1M),,,
MVP Baseball 2005,GC,Sports,EA Sports,8.7,0.33,0.25,0,0.07,0.01,2005,2000,75.8,0,21.2,3,Mid-tier (0.1ƒ??1M),,,
NCAA GameBreaker 2001,PS,Sports,Sony Computer Entertainment,7.3,0.33,0.18,0,0.12,0.02,2000,2000,54.5,0,36.4,6.1,Mid-tier (0.1ƒ??1M),,,
SSX Blur,Wii,Sports,EA Sports BIG,7.3,0.33,0.29,0,0.01,0.02,2007,2000,87.9,0,3,6.1,Mid-tier (0.1ƒ??1M),,,
Tom Clancy's Ghost Recon Advanced Warfighter,XB,Shooter,Ubisoft,7.3,0.33,0.21,0,0.11,0.01,2006,2000,63.6,0,33.3,3,Mid-tier (0.1ƒ??1M),,,
Call of Duty 2: Big Red One,GC,Shooter,Activision,7.5,0.33,0.25,0,0.07,0.01,2005,2000,75.8,0,21.2,3,Mid-tier (0.1ƒ??1M),,,
Naruto: Gekitou Ninja Taisen! 4,GC,Fighting,Tomy Corporation,7.3,0.33,0,0.32,0,0.01,2005,2000,0,97,0,3,Mid-tier (0.1ƒ??1M),,,
Kelly Slater's Pro Surfer,PS2,Sports,Activision,7.3,0.33,0.16,0,0.13,0.04,2002,2000,48.5,0,39.4,12.1,Mid-tier (0.1ƒ??1M),,,
Minute to win it,X360,Misc,Zoo Games,7.3,0.33,0.3,0,0,0.03,2011,2010,90.9,0,0,9.1,Mid-tier (0.1ƒ??1M),,,
Ape Escape Academy,PSP,Party,Sony Computer Entertainment,5.3,0.33,0.13,0,0.15,0.05,2006,2000,39.4,0,45.5,15.2,Mid-tier (0.1ƒ??1M),,,
The Witcher: Enhanced Edition,PC,Role-Playing,Atari,8.3,0.33,0.32,0,0.01,0,2008,2000,97,0,3,0,Mid-tier (0.1ƒ??1M),,,
Fate/Extra,PSP,Role-Playing,Aksys Games,7.3,0.33,0.19,0.1,0.01,0.03,2011,2010,57.6,30.3,3,9.1,Mid-tier (0.1ƒ??1M),,,
Valkyria Chronicles Remastered,PS4,Role-Playing,Sega,7.3,0.33,0.14,0.08,0.08,0.04,2016,2010,42.4,24.2,24.2,12.1,Mid-tier (0.1ƒ??1M),,,
Fable III,PC,Role-Playing,Microsoft Game Studios,7,0.33,0.11,0,0.17,0.05,2011,2010,33.3,0,51.5,15.2,Mid-tier (0.1ƒ??1M),,,
NBA Live 06,GC,Sports,EA Sports,7.3,0.33,0.25,0,0.07,0.01,2005,2000,75.8,0,21.2,3,Mid-tier (0.1ƒ??1M),,,
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,DS,Misc,Rocket Company,7.3,0.33,0,0.33,0,0,2007,2000,0,100,0,0,Mid-tier (0.1ƒ??1M),,,
Tokyo Mirage Sessions #FE,WiiU,Role-Playing,Nintendo,8,0.33,0.17,0.08,0.06,0.02,2016,2010,51.5,24.2,18.2,6.1,Mid-tier (0.1ƒ??1M),,,
Disgaea: Hour of Darkness,PS2,Role-Playing,Atlus,8.8,0.33,0.16,0,0.13,0.04,2003,2000,48.5,0,39.4,12.1,Mid-tier (0.1ƒ??1M),,,
Resonance of Fate,X360,Role-Playing,Sega,7.4,0.33,0.12,0.06,0.13,0.03,2010,2010,36.4,18.2,39.4,9.1,Mid-tier (0.1ƒ??1M),,,
Untold Legends: The Warriors Code,PSP,Role-Playing,Sony Online Entertainment,6.8,0.33,0.14,0,0.12,0.08,2006,2000,42.4,0,36.4,24.2,Mid-tier (0.1ƒ??1M),,,
Planet Puzzle League,DS,Puzzle,Nintendo,8.6,0.33,0.14,0.16,0.01,0.01,2007,2000,42.4,48.5,3,3,Mid-tier (0.1ƒ??1M),,,
BookWorm,DS,Puzzle,PopCap Games,7.3,0.33,0.3,0,0.01,0.02,2009,2000,90.9,0,3,6.1,Mid-tier (0.1ƒ??1M),,,
Bomberman World,PS,Puzzle,Atlus,6.5,0.33,0.06,0.22,0.04,0.02,1998,1990,18.2,66.7,12.1,6.1,Mid-tier (0.1ƒ??1M),,,
Deus Ex: Invisible War,XB,Shooter,Eidos Interactive,8.5,0.33,0.25,0,0.07,0.01,2003,2000,75.8,0,21.2,3,Mid-tier (0.1ƒ??1M),,,
DX Game of Life 2,PS,Misc,Takara,7.3,0.33,0,0.31,0,0.02,1997,1990,0,93.9,0,6.1,Mid-tier (0.1ƒ??1M),,,
Pinball Hall of Fame: The Gottlieb Collection,PS2,Misc,Crave Entertainment,7.3,0.33,0.16,0,0.12,0.04,2004,2000,48.5,0,36.4,12.1,Mid-tier (0.1ƒ??1M),,,
DECA Sports Freedom,X360,Sports,Hudson Soft,3,0.33,0.27,0,0.04,0.02,2010,2010,81.8,0,12.1,6.1,Mid-tier (0.1ƒ??1M),,,
Capcom Classics Collection Reloaded,PSP,Misc,Capcom,7.1,0.33,0.26,0.03,0,0.03,2006,2000,78.8,9.1,0,9.1,Mid-tier (0.1ƒ??1M),,,
Way of the Samurai 2,PS2,Action,Capcom,7.3,0.33,0.05,0.23,0.04,0.01,2004,2000,15.2,69.7,12.1,3,Mid-tier (0.1ƒ??1M),,,
Binary Domain,PS3,Action,Sega,7.3,0.33,0.09,0.14,0.07,0.03,2012,2010,27.3,42.4,21.2,9.1,Mid-tier (0.1ƒ??1M),,,
LEGO Harry Potter Collection,NS,Action,Warner Bros. Interactive Entertainment,7.3,0.33,0.15,0,0.16,0.03,2018,2010,45.5,0,48.5,9.1,Mid-tier (0.1ƒ??1M),,,
Disney's Treasure Planet,PS2,Action,Sony Computer Entertainment,7.3,0.33,0.16,0,0.13,0.04,2002,2000,48.5,0,39.4,12.1,Mid-tier (0.1ƒ??1M),,,
Fireball,2600,Action,Unknown,7.3,0.33,0.3,0,0.02,0,1982,1980,90.9,0,6.1,0,Mid-tier (0.1ƒ??1M),,,
Iron Man 2,Wii,Action,Sega,7.3,0.33,0.15,0,0.15,0.03,2010,2010,45.5,0,45.5,9.1,Mid-tier (0.1ƒ??1M),,,
