title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,decade,na_pct,jp_pct,pal_pct,other_pct,sales_tier,,,
Call of Duty: World at War,PS3,Shooter,Activision,8.4,5.43,2.75,0,1.84,0.84,2008,2000,50.6,0,33.9,15.5,Blockbuster (5M+),,,
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,6.9,5.42,2.07,0.24,2.29,0.82,2001,2000,38.2,4.4,42.3,15.1,Blockbuster (5M+),,,
Final Fantasy XIII,PS3,Role-Playing,Square Enix,8,5.35,1.75,1.87,1.23,0.51,2010,2010,32.7,35,23,9.5,Blockbuster (5M+),,,
Assassin's Creed III,X360,Action-Adventure,Ubisoft,7.3,5.31,3.13,0.03,1.71,0.45,2012,2010,58.9,0.6,32.2,8.5,Blockbuster (5M+),,,
Assassin's Creed II,X360,Action,Ubisoft,9.1,5.3,3.14,0.08,1.55,0.52,2009,2000,59.2,1.5,29.2,9.8,Blockbuster (5M+),,,
Tomb Raider II,PS,Adventure,Eidos Interactive,7.6,5.24,2.3,0.2,2.46,0.28,1997,1990,43.9,3.8,46.9,5.3,Blockbuster (5M+),,,
Madden NFL 2004,PS2,Sports,EA Sports,9.5,5.23,4.26,0.01,0.26,0.71,2003,2000,81.5,0.2,5,13.6,Blockbuster (5M+),,,
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,8.3,5.22,3.25,0.01,1.49,0.48,2014,2010,62.3,0.2,28.5,9.2,Blockbuster (5M+),,,
Battlefield 1,XOne,Shooter,Electronic Arts,9.3,5.13,3.37,0.02,1.26,0.48,2016,2010,65.7,0.4,24.6,9.4,Blockbuster (5M+),,,
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,5.9,5.13,1.98,0.13,2.23,0.8,2003,2000,38.6,2.5,43.5,15.6,Blockbuster (5M+),,,
Microsoft Flight Simulator,PC,Simulation,Microsoft,7,5.12,3.22,0,1.69,0.2,1996,1990,62.9,0,33,3.9,Blockbuster (5M+),,,
Guitar Hero II,PS2,Misc,RedOctane,9.2,5.12,3.81,0,0.63,0.68,2006,2000,74.4,0,12.3,13.3,Blockbuster (5M+),,,
FIFA 13,X360,Sports,EA Sports,7.3,5.11,1.1,0.03,3.49,0.5,2012,2010,21.5,0.6,68.3,9.8,Blockbuster (5M+),,,
Fable III,X360,Role-Playing,Microsoft Game Studios,7.8,5.1,3.59,0.05,1.09,0.37,2010,2010,70.4,1,21.4,7.3,Blockbuster (5M+),,,
Mario & Sonic at the Olympic Games,DS,Sports,Sega,7,5.1,1.63,0.44,2.46,0.57,2008,2000,32,8.6,48.2,11.2,Blockbuster (5M+),,,
Resident Evil 5,PS3,Action,Capcom,8.6,5.1,1.96,1.08,1.42,0.64,2009,2000,38.4,21.2,27.8,12.5,Blockbuster (5M+),,,
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,8.4,5.08,1.7,0.16,2.03,1.19,2006,2000,33.5,3.1,40,23.4,Blockbuster (5M+),,,
FIFA Soccer 11,PS3,Sports,EA Sports,8.7,5.08,0.61,0.06,3.28,1.12,2010,2010,12,1.2,64.6,22,Blockbuster (5M+),,,
Final Fantasy XV,PS4,Role-Playing,Square Enix,8.1,5.07,1.81,1.05,1.53,0.68,2016,2010,35.7,20.7,30.2,13.4,Blockbuster (5M+),,,
Fallout 4,XOne,Role-Playing,Bethesda Softworks,8.4,5.03,2.94,0.02,1.62,0.45,2015,2010,58.4,0.4,32.2,8.9,Blockbuster (5M+),,,
Tony Hawk's Pro Skater,PS,Sports,Activision,9.6,5.02,3.42,0.02,1.38,0.2,1999,1990,68.1,0.4,27.5,4,Blockbuster (5M+),,,
Warzone 2100,PS,Strategy,Eidos Interactive,7.3,5.01,2.79,0,1.89,0.33,1999,1990,55.7,0,37.7,6.6,Blockbuster (5M+),,,
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,8.2,4.98,3.49,0.01,0.01,1.48,2007,2000,70.1,0.2,0.2,29.7,Hit (1ƒ??5M),,,
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,8.7,4.97,2.32,0.12,1.73,0.8,2007,2000,46.7,2.4,34.8,16.1,Hit (1ƒ??5M),,,
Fallout 3,X360,Role-Playing,Bethesda Softworks,9,4.96,3.41,0.09,0.99,0.46,2008,2000,68.8,1.8,20,9.3,Hit (1ƒ??5M),,,
Madden NFL 06,PS2,Sports,EA Sports,9.1,4.91,3.98,0.01,0.26,0.66,2005,2000,81.1,0.2,5.3,13.4,Hit (1ƒ??5M),,,
Call of Duty: Black Ops IIII,XOne,Shooter,Activision,7.3,4.85,3.27,0,1.12,0.46,2018,2010,67.4,0,23.1,9.5,Hit (1ƒ??5M),,,
Crash Bandicoot N. Sane Trilogy,PS4,Platform,Activision,7.3,4.83,1.09,0.07,2.92,0.74,2017,2010,22.6,1.4,60.5,15.3,Hit (1ƒ??5M),,,
Assassin's Creed,PS3,Action,Ubisoft,8.2,4.83,1.91,0.09,2.01,0.82,2007,2000,39.5,1.9,41.6,17,Hit (1ƒ??5M),,,
Call of Duty: Infinite Warfare,XOne,Shooter,Activision,7.3,4.79,2.91,0,1.44,0.44,2016,2010,60.8,0,30.1,9.2,Hit (1ƒ??5M),,,
Crash Team Racing,PS,Racing,Sony Computer Entertainment,9.2,4.79,2.57,0.44,1.57,0.21,1999,1990,53.7,9.2,32.8,4.4,Hit (1ƒ??5M),,,
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,7.8,4.77,2.83,0,1.49,0.45,2007,2000,59.3,0,31.2,9.4,Hit (1ƒ??5M),,,
Batman: Arkham City,X360,Action,Warner Bros. Interactive,9.5,4.75,2.99,0.04,1.28,0.44,2011,2010,62.9,0.8,26.9,9.3,Hit (1ƒ??5M),,,
Driver 2,PS,Action,Atari,7,4.73,2.36,0.02,2.1,0.25,2000,2000,49.9,0.4,44.4,5.3,Hit (1ƒ??5M),,,
The Simpsons: Hit & Run,PS2,Racing,VU Games,7.7,4.7,1.73,0,2.19,0.79,2003,2000,36.8,0,46.6,16.8,Hit (1ƒ??5M),,,
Tony Hawk's Pro Skater 2,PS,Sports,Activision,9.3,4.68,3.05,0.02,1.41,0.2,2000,2000,65.2,0.4,30.1,4.3,Hit (1ƒ??5M),,,
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,8.3,4.67,1.94,0.08,1.95,0.7,2002,2000,41.5,1.7,41.8,15,Hit (1ƒ??5M),,,
Tomb Raider,PS,Action,Eidos Interactive,8.9,4.63,2.29,0.13,1.97,0.24,1996,1990,49.5,2.8,42.5,5.2,Hit (1ƒ??5M),,,
Guitar Hero III: Legends of Rock,Wii,Misc,RedOctane,8.6,4.6,3.04,0,1.12,0.44,2007,2000,66.1,0,24.3,9.6,Hit (1ƒ??5M),,,
Forza Motorsport 4,X360,Racing,Microsoft Studios,9.1,4.6,2.08,0.06,1.98,0.49,2011,2010,45.2,1.3,43,10.7,Hit (1ƒ??5M),,,
FIFA 15,PS3,Sports,EA Sports,6.9,4.56,0.59,0.04,3.25,0.68,2014,2010,12.9,0.9,71.3,14.9,Hit (1ƒ??5M),,,
Overwatch,PS4,Shooter,Blizzard Entertainment,8.8,4.54,1.84,0.17,1.8,0.73,2016,2010,40.5,3.7,39.6,16.1,Hit (1ƒ??5M),,,
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,6.8,4.54,1.87,0.22,1.97,0.48,2009,2000,41.2,4.8,43.4,10.6,Hit (1ƒ??5M),,,
